Method,C,kernel,gamma,Accuracy,Precision,Recall,F1-Score
Custom Grid Search,0.1,linear,auto,0.872,0.8726,0.872,0.8719
Custom Grid Search,0.1,linear,scale,0.872,0.8726,0.872,0.8719
Custom Grid Search,0.1,rbf,auto,0.854,0.8612,0.854,0.8533
Custom Grid Search,0.1,rbf,scale,0.853,0.8605,0.853,0.8522
Custom Grid Search,1.0,linear,auto,0.874,0.8744,0.874,0.874
Custom Grid Search,1.0,linear,scale,0.874,0.8744,0.874,0.874
Custom Grid Search,1.0,rbf,auto,0.862,0.8635,0.862,0.8619
Custom Grid Search,1.0,rbf,scale,0.862,0.8634,0.862,0.8619
Custom Grid Search,10.0,linear,auto,0.873,0.8737,0.873,0.8729
Custom Grid Search,10.0,linear,scale,0.873,0.8737,0.873,0.8729
Custom Grid Search,10.0,rbf,auto,0.822,0.8233,0.822,0.8218
Custom Grid Search,10.0,rbf,scale,0.822,0.8233,0.822,0.8218
